Input_pH,Input_pe,U_initial,Carbonate,NaCl,Ca,Hfo_s,Hfo_w,Output_pH,Output_pe,U_ads,U_diss,HFO_gL,Ads_%,Kd_L_g,logKd,U_surface_total,Hfo_sOUO2+,(Hfo_sO)2UO2,(Hfo_sO)2UO2CO3-2,Hfo_wOUO2+,(Hfo_wO)2UO2,(Hfo_wO)2UO2CO3-2,UO2+2,UO2OH+,UO2(OH)2,UO2CO3,UO2(CO3)2-2,UO2(CO3)3-4,UO2Cl+,CaUO2(CO3)3-2,Ca2UO2(CO3)3,SI_Na2U2O7,SI_UO2CO3,SI_beta_UO2OH2,Dominant_aq_species,Dominant_surface_species
3.0,17.8,1e-08,0.01,0.0158489319246111,0.01,3.1622776601683795e-05,0.0012649110640673,3.0,17.60123136003825,1.2374786622466291e-09,8.762521343829372e-09,0.2593067681338071,12.374786622466294,0.5446214949549136,-0.2639052220557548,1.2374786622466291e-09,7.782951996617577e-10,4.2666984235069685e-10,1.3409440509175663e-32,2.711606953616032e-11,5.397550698014117e-12,5.364329432607552e-35,8.534277507529815e-09,4.794850742833358e-11,5.9807025034852165e-15,1.4616865349632588e-11,1.3671122714748993e-17,4.60386830631293e-25,1.6555619396041378e-10,5.255164641204517e-22,2.981388256893873e-22,-24.484672393717773,-6.011514528869643,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,5.179474679231213e-08,2.6826957952797277e-05,0.0158489319246111,0.01,0.001,0.04,3.0,17.601194515077804,4.233159654648364e-08,9.46315024561209e-09,8.2,81.72951731229797,0.545525505646032,-0.2631849394800803,4.233159654648364e-08,2.66239117162941e-08,1.4595454658317444e-08,1.2307821871256377e-33,9.27590052284228e-10,1.84640119587865e-10,4.9236780423484194e-36,9.232006578067586e-09,5.1877391084032825e-11,6.471860246973533e-15,4.242566521652238e-14,1.0646901920968936e-22,9.620260395723784e-33,1.7909154059001719e-10,1.0981674780824995e-29,6.230448491494973e-30,-24.41618517882296,-8.54874032068346,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,5.179474679231213e-08,2.6826957952797277e-05,0.2511886431509579,0.0,3.1622776601683795e-05,0.0012649110640673,3.0,17.60288533635434,5.344736086657837e-09,4.645001071255857e-08,0.2593067681338071,10.319069823990633,0.4437379723386607,-0.3528734054697895,5.344736086657837e-09,3.3616816935273676e-09,1.8425946413555202e-09,1.6198319790534612e-34,1.171421832341436e-10,2.3317568540804902e-11,6.48221493110361e-37,3.6868322590255776e-08,2.0556717056933358e-10,2.4241850800132832e-14,1.6826941306511147e-13,4.620975952805049e-22,4.352851721679575e-32,9.295525881305393e-09,0.0,0.0,-20.972898698977616,-7.929306456343884,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,5.179474679231213e-08,0.0005179474679231,0.0039810717055349,0.001,5.623413251903491e-06,0.0002249365300761,3.0,17.60107542196011,1.2876094439768e-09,5.05071373483336e-08,0.0461119886656086,2.485984629174632,0.5528630264099464,-0.2573824532210708,1.2876094439768e-09,8.098888374638377e-10,4.4387868326317053e-10,7.179345515393534e-34,2.8223863095777777e-11,5.618060154013984e-12,2.8734718754102147e-36,4.9952421007241954e-08,2.808515014309937e-10,3.5297621390384446e-14,4.433284370113478e-12,2.1193255468011308e-19,3.672977255256475e-28,2.693216924502728e-10,5.791644344521054e-26,4.5701874420929345e-27,-24.069399247574022,-6.532622892529728,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,5.179474679231213e-08,0.0005179474679231,0.0158489319246111,0.001,5.623413251903491e-06,0.0002249365300761,3.0,17.60116309800334,1.2692779005070395e-09,5.0525468891803914e-08,0.0461119886656086,2.450591959830641,0.5447942480118194,-0.2637674863924704,1.2692779005070395e-09,7.983574527888333e-10,4.3756051691955006e-10,7.094442014233537e-34,2.7821885665471368e-11,5.538045133184874e-12,2.8394655728881057e-36,4.924097519139754e-08,2.76739722733144e-10,3.467207251619185e-14,4.368880910685365e-12,2.0993598090991612e-19,3.6472622811253797e-28,1.0025910872720171e-09,4.816603136886316e-26,3.174520805016491e-27,-22.925504616577932,-6.537793238013887,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,5.179474679231213e-08,0.0013894954943731,1.0,0.0001,5.623413251903491e-06,0.0002249365300761,3.0,17.608348104626828,7.004929263131907e-10,5.109425386604322e-08,0.0461119886656086,1.3524401019316592,0.2973156980188482,-0.526782159806234,7.004929263131907e-10,4.4058120909442986e-10,2.415041735331374e-10,1.2526808338661565e-33,1.535172756516942e-11,3.055816120453992e-12,5.0123687071791045e-36,2.7170479624523296e-08,1.4773117353333038e-10,1.4463382524818863e-14,6.229253128879136e-12,1.1855746087904485e-18,6.589381949517358e-27,2.319170901199512e-08,2.9527229398405144e-26,5.333638735282133e-29,-20.174176859238205,-6.290986902815288,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,5.179474679231213e-08,0.0037275937203149,0.0630957344480193,1e-05,3.1622776601683795e-05,0.0012649110640673,3.0,17.601519424138434,6.129071685794651e-09,4.5665675128161093e-08,0.2593067681338071,11.833384783926364,0.5175960648129897,-0.2860090341873091,6.129071685794651e-09,3.855045858487795e-09,2.112946780367188e-09,2.4880837581574405e-32,1.343384923644139e-10,2.6740554575253037e-11,9.957420500019515e-35,4.2280541732914073e-08,2.372317142514407e-10,2.936814315995254e-14,2.6964260771046708e-11,9.508092952219365e-18,1.199692258998873e-25,3.1126925824938253e-09,1.1823759584931954e-25,5.755894989033595e-29,-21.93575066555202,-5.742883019001276,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,5.179474679231213e-08,0.0037275937203149,0.0630957344480193,0.0001,0.0001778279410038,0.0071131176401556,3.0,17.601519753351628,2.2279662050902183e-08,2.9515084741332e-08,1.4581891162319167,43.015292921963166,0.5176672758741765,-0.2859492878990804,2.2279662050902183e-08,1.4012994344984258e-08,7.681202313468698e-09,9.045306398996339e-32,4.882729253854142e-10,9.719246706380756e-11,3.6193175165389926e-34,2.7327675608997357e-08,1.533325079758589e-10,1.898102056022597e-14,1.7428120228770843e-11,6.14597587248997e-18,7.755055845733971e-26,2.0113261458092953e-09,7.637684220260746e-25,3.71528592532822e-27,-22.31501384597543,-5.932403227611388,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,5.179474679231213e-08,0.0037275937203149,1.0,0.0,1e-06,4e-05,3.0,17.608356683454733,1.2594049258281906e-10,5.1668806300124746e-08,0.0081999999999999,0.2431530230040865,0.2972508512627331,-0.5268768929811689,1.2594049258281906e-10,7.921143014457714e-11,4.341959197211478e-11,6.041418663108073e-34,2.760068907483436e-12,5.494015586436931e-13,2.417369743789245e-36,2.747008323232504e-08,1.4935427587400175e-10,1.4622315995231738e-14,1.689483635002679e-11,8.625144211457927e-18,1.2859366083403076e-25,2.344794508161155e-08,0.0,0.0,-20.164702395193057,-5.857686829767802,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,5.179474679231213e-08,0.01,0.0158489319246111,0.01,1e-06,4e-05,3.0,17.601231360198653,2.3020532190054027e-10,5.1564541470521616e-08,0.0081999999999999,0.4444568921702105,0.5444404031017623,-0.2640496531361303,2.3020532190054027e-10,1.4479609318028742e-10,7.935878574077377e-11,2.494099239693732e-33,5.046015650113957e-12,1.004427329365123e-12,9.982452141340525e-36,5.0221384183415323e-08,2.82161015818419e-10,3.519444400265345e-14,8.601538963897386e-11,8.045001142983915e-17,2.7092234497807647e-24,9.742429929727203e-10,3.0924880274205928e-21,1.7544459553161495e-21,-22.94522869579784,-5.241792605727879,-999.999,UO2+2,Hfo_sOUO2+
